game_id,title,description,price,platform,genre,developer,stock_quantity,release_date
1,CURABITUR GRAVIDA NISI AT,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",$51.18,Switch,Horror,Wolf LLC,248,01/18/2024
2,MORBI NON QUAM,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,$28.47,PS5,Survival,"Bergstrom, Bailey and King",124,04/17/2002
3,ANTE IPSUM PRIMIS,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",$31.60,PS5,Adventure,"Block, Auer and Haley",876,05/31/2007
4,FELIS SED,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",$23.38,PS5,Strategy,Feest-Schmeler,844,06/25/2012
5,LACINIA NISI VENENATIS TRISTIQUE FUSCE,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",$6.20,Switch,Role-playing,"Blanda, Nader and Jakubowski",233,06/19/2005
6,NON INTERDUM IN ANTE VESTIBULUM,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,$45.89,Xbox,Rhythm,Dietrich-Ankunding,505,01/22/1995
7,NASCETUR RIDICULUS MUS VIVAMUS,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",$34.67,Switch,Adventure,DuBuque Inc,928,08/03/1994
8,JUSTO IN,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.",$19.01,Xbox,Adventure,O'Keefe LLC,477,04/10/1996
9,PHASELLUS IN FELIS DONEC SEMPER,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",$45.05,Xbox,Racing,"Leannon, Monahan and Senger",110,03/09/2018
10,MAECENAS TINCIDUNT LACUS AT,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.",$33.13,Switch,Action,"Kovacek, Funk and Mann",641,01/23/1999
11,PELLENTESQUE VIVERRA PEDE AC DIAM,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",$3.17,PS5,Puzzle,Pacocha-Littel,561,05/10/1997
12,SUSPENDISSE POTENTI,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",$53.71,PC,Simulation,"O'Conner, Collins and DuBuque",376,11/16/1996
13,SEMPER SAPIEN A,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",$11.26,PS5,Rhythm,Moore-Rowe,588,04/28/2004
14,EST LACINIA NISI VENENATIS TRISTIQUE,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",$10.44,Switch,MMORPG,"Beahan, Bashirian and Dickens",274,11/20/2002
15,NISI VOLUTPAT ELEIFEND,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",$2.00,Xbox,Racing,"Wintheiser, Olson and Turner",85,07/17/2018
16,MAECENAS UT,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",$36.26,Switch,Stealth,Bruen-Raynor,254,03/09/2007
17,NULLA SED VEL ENIM,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,$22.43,PC,Role-playing,West-Corwin,687,10/27/2004
18,ULTRICES,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",$55.70,PC,MMORPG,Ryan-Braun,579,12/23/2013
19,NON,Suspendisse potenti. In eleifend quam a odio.,$50.87,PS5,Horror,Batz-Mueller,380,04/13/2014
20,ALIQUAM QUIS,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",$1.66,Xbox,Simulation,"Ruecker, Fay and Conn",709,03/03/2013
21,EU INTERDUM EU TINCIDUNT,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",$49.72,Xbox,Puzzle,"Daniel, Bradtke and Rippin",925,01/20/2010
22,ELEIFEND LUCTUS ULTRICIES EU NIBH,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",$5.10,Xbox,Fighting,Altenwerth Group,487,02/23/1994
23,PELLENTESQUE QUISQUE PORTA VOLUTPAT,Phasellus sit amet erat. Nulla tempus.,$59.59,PC,Action,Gerhold-DuBuque,448,03/31/2006
24,LACUS,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",$21.08,Switch,Fighting,"Hackett, Padberg and Walsh",21,12/27/2005
25,QUAM SOLLICITUDIN VITAE CONSECTETUER EGET,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",$56.38,Switch,Platformer,Hodkiewicz LLC,802,06/22/2001
26,PURUS,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,$10.95,PC,MMORPG,"Kuhn, Cummerata and Ledner",427,03/24/2000
27,ANTE IPSUM,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,$42.22,Xbox,Simulation,Huels-Mann,723,05/25/1996
28,EGET MASSA TEMPOR,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",$5.96,Xbox,Stealth,Medhurst Group,321,05/22/2000
29,AT TURPIS,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,$15.16,PS5,Adventure,Senger-Nienow,645,11/07/2018
30,LACUS CURABITUR AT,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.",$38.56,Xbox,Rhythm,Leuschke Group,378,04/30/2002
