game_id,title,description,price,platform,genre,developer,stock_quantity,release_date
1,QUAM,Proin risus. Praesent lectus.,$33.65,Switch,Racing,Gerlach Inc,234,1998-12-05
2,LIGULA SUSPENDISSE,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,$40.38,Switch,Strategy,Nienow and Sons,54,2023-06-18
3,NULLA PEDE,Aenean lectus.,$33.20,PS5,Puzzle,"Rutherford, Moore and Ondricka",19,2004-07-13
4,DIAM VITAE QUAM SUSPENDISSE POTENTI,In congue.,$37.35,PC,Fighting,Halvorson-Hand,420,2017-05-01
5,SOLLICITUDIN UT,Nunc purus. Phasellus in felis.,$18.22,PS5,Sports,"O'Kon, Waters and Harber",367,2015-04-23
6,VESTIBULUM,Fusce consequat. Nulla nisl.,$55.16,Xbox,Action,Hegmann Inc,449,2004-01-16
7,ULTRICES ENIM LOREM,Morbi ut odio.,$45.25,Xbox,Platformer,Abbott-Dooley,313,2020-03-25
8,FAUCIBUS ORCI LUCTUS ET,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",$40.54,Xbox,Strategy,"Johnson, Bradtke and Huel",462,1994-10-05
9,BLANDIT,Pellentesque at nulla.,$42.59,PC,Sports,"Stamm, Zemlak and Batz",368,2009-08-17
10,SAPIEN SAPIEN NON MI,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,$49.10,PC,Adventure,Donnelly LLC,433,1995-05-04
11,PLATEA DICTUMST MORBI VESTIBULUM VELIT,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,$3.74,Switch,Simulation,Wilkinson-Cruickshank,395,2011-12-07
12,IN,Duis mattis egestas metus.,$16.88,Xbox,Adventure,Swaniawski LLC,48,2010-04-08
13,ULTRICES VEL AUGUE VESTIBULUM ANTE,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",$41.92,Xbox,Survival,"Turner, Auer and Schamberger",204,2003-11-21
14,NULLA PEDE,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",$47.59,Switch,Fighting,Bosco-Muller,192,2013-04-18
15,VEHICULA CONSEQUAT MORBI,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,$2.04,Switch,Sports,"Gorczany, Beatty and Armstrong",446,2005-05-22
16,ET EROS VESTIBULUM AC,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,$47.54,Switch,Adventure,"Kunze, Wehner and Stark",217,2011-09-08
17,JUSTO NEC CONDIMENTUM,Maecenas rhoncus aliquam lacus.,$3.20,PC,Fighting,"Walsh, Mitchell and Greenholt",488,2019-10-26
18,IN SAGITTIS DUI,Morbi a ipsum.,$9.62,Switch,Educational,Waelchi Inc,54,2018-07-19
19,VESTIBULUM SED MAGNA AT NUNC,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",$27.88,Xbox,Action,O'Conner LLC,262,1997-10-19
20,VESTIBULUM ANTE IPSUM PRIMIS IN,Aenean sit amet justo. Morbi ut odio.,$9.23,Switch,Educational,Reilly-Walsh,190,2003-02-09
21,QUIS LECTUS SUSPENDISSE POTENTI IN,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,$16.03,PC,Simulation,Bailey-Turcotte,233,1997-06-04
22,AUGUE VEL ACCUMSAN TELLUS,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,$5.39,Switch,Racing,Wolf-Smitham,411,2006-01-03
23,PELLENTESQUE ULTRICES MATTIS ODIO,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,$27.43,PC,Racing,Morissette Inc,491,2024-08-31
