order_detail_id,order_id,game_id,quantity,price_at_purchase
1,395,354,12,$51.07
2,399,838,12,$6.24
3,431,496,2,$59.69
4,54,88,6,$31.50
5,455,81,1,$50.05
6,795,550,1,$38.62
7,586,446,21,$4.30
8,729,225,19,$32.47
9,709,812,12,$55.52
10,759,234,9,$16.74
11,378,635,21,$17.01
12,321,746,2,$35.67
13,684,302,14,$58.42
14,774,111,22,$36.38
15,98,929,11,$0.23
16,646,769,4,$35.56
17,467,470,20,$22.64
18,493,27,19,$48.88
19,601,646,16,$54.57
20,517,368,9,$48.17
21,118,937,15,$47.00
22,67,427,22,$13.38
23,737,980,2,$59.11
24,116,637,24,$4.12
25,119,981,1,$27.78
26,514,524,18,$3.58
27,215,785,14,$1.89
28,703,3,17,$50.57
29,214,540,15,$31.46
30,600,695,9,$47.30
31,885,425,4,$37.34
32,524,831,15,$52.82
33,96,226,1,$20.51
34,847,468,8,$3.34
35,850,109,20,$24.87
36,724,446,24,$16.72
37,997,910,23,$55.76
38,746,383,11,$39.93
39,178,447,19,$7.13
40,696,358,13,$16.63
41,952,133,15,$8.78
42,174,171,25,$10.25
43,915,597,11,$37.90
44,231,122,16,$29.71
45,364,535,14,$35.98
46,84,865,16,$16.35
47,822,276,6,$37.62
48,794,975,9,$24.44
49,560,761,15,$27.07
50,644,722,11,$48.01
51,684,18,23,$35.60
52,451,876,25,$58.99
53,390,275,13,$29.84
54,99,379,15,$38.74
55,268,734,9,$32.49
56,142,899,15,$3.66
57,986,964,18,$43.18
58,597,962,25,$53.73
59,773,88,4,$54.58
60,995,210,1,$49.40
61,125,823,9,$44.67
62,683,197,5,$36.64
63,194,767,9,$39.29
64,170,531,9,$0.72
65,30,373,4,$47.99
66,44,223,14,$3.30
67,641,192,12,$4.99
68,561,738,3,$46.32
69,421,641,22,$37.53
70,11,614,14,$5.00
71,351,506,4,$52.70
72,139,624,2,$31.73
73,910,429,15,$19.79
74,181,845,7,$41.64
75,533,594,25,$50.55
76,80,489,8,$47.06
77,375,391,19,$4.81
78,286,267,2,$34.68
79,702,451,13,$44.82
80,173,282,18,$56.19
81,717,457,5,$16.25
82,874,563,4,$50.50
83,15,391,6,$5.94
84,844,721,18,$35.59
85,22,196,13,$8.95
86,880,966,9,$55.20
87,775,699,7,$16.69
88,996,705,15,$40.43
89,276,970,15,$14.44
90,220,458,15,$46.41
91,742,727,23,$13.07
92,216,160,21,$26.68
93,33,723,19,$41.80
94,114,35,12,$12.35
