order_detail_id,order_id,game_id,quantity,price_at_purchase
1,543,578,3,18.95
2,930,484,6,51.1
3,689,851,7,7.0
4,175,4,10,18.53
5,938,786,8,41.2
6,50,630,10,20.14
7,708,983,6,14.68
8,539,748,1,29.11
9,638,497,3,16.45
10,936,849,4,39.31
11,262,413,8,59.65
12,449,273,4,41.34
13,901,601,5,22.68
14,811,39,2,6.64
15,184,851,5,36.82
16,361,123,6,30.55
17,623,284,4,30.29
18,283,494,7,49.94
19,339,35,6,44.34
20,289,988,3,54.92
21,343,635,5,21.68
22,73,834,10,42.75
23,362,11,4,59.59
24,573,952,1,11.21
25,378,340,3,32.46
26,836,213,7,33.88
27,923,77,4,7.0
28,965,74,9,17.09
29,957,694,7,18.52
30,757,425,3,42.61
31,70,464,9,29.09
32,760,240,5,21.61
33,375,699,5,6.09
34,363,389,3,10.71
35,781,333,10,56.33
36,661,741,7,22.22
37,365,933,8,39.14
38,113,420,5,44.6
39,426,347,4,53.56
40,700,857,7,25.3
41,383,412,4,36.95
42,704,694,10,30.58
43,717,320,3,33.71
44,318,261,2,58.3
45,57,177,5,22.91
46,691,491,7,24.37
47,229,926,5,57.35
48,65,441,10,25.38
49,661,999,8,51.19
50,860,256,5,22.8
51,920,179,9,23.93
52,97,460,10,32.48
53,848,448,9,48.65
54,81,362,8,4.96
55,331,814,3,9.93
56,391,250,3,4.76
57,113,255,5,55.79
58,648,2,10,56.62
59,236,195,2,26.01
60,659,98,8,13.87
61,734,78,10,14.52
62,171,510,7,24.24
63,471,10,9,46.1
64,960,63,8,50.99
65,985,915,6,11.72
66,36,229,3,34.66
67,876,553,8,26.4
68,148,797,1,22.32
69,549,348,8,56.99
70,766,195,5,55.55
71,993,643,2,43.35
72,263,963,2,27.28
73,718,923,9,15.33
74,769,492,3,13.96
75,885,351,6,4.32
76,173,712,2,50.31
77,841,856,2,13.35
78,291,382,1,35.36
79,931,370,6,8.4
80,717,827,7,54.18
81,123,167,2,25.97
82,302,68,5,20.15
83,389,842,7,6.31
84,935,26,3,14.68
85,509,560,3,14.65
86,966,741,7,5.19
87,558,491,6,51.99
88,506,901,1,5.9
89,713,962,10,49.37
90,650,499,9,47.83
91,14,449,5,24.99
92,56,295,4,38.24
93,544,372,5,33.61
94,875,700,8,29.16
95,705,958,5,31.4
96,628,900,9,15.14
97,104,212,7,34.92
98,451,167,10,8.62
99,817,932,6,34.77
100,403,643,1,16.25
101,608,368,1,27.61
102,870,401,9,44.93
103,167,645,3,53.54
104,347,712,10,58.86
105,599,689,8,6.37
106,164,664,5,23.27
107,869,974,9,7.58
108,175,518,6,44.04
109,631,901,7,26.11
110,137,504,2,7.61
111,200,748,7,15.5
112,270,431,1,15.23
113,521,99,4,42.22
114,419,664,5,16.7
115,344,268,3,52.32
116,426,291,7,57.56
117,418,540,9,16.48
118,806,443,7,21.51
119,313,904,3,27.99
120,193,525,8,31.72
121,584,464,6,3.56
122,726,565,3,52.91
123,993,266,3,12.03
124,247,285,5,16.24
125,640,777,2,25.65
126,94,820,10,4.58
127,60,104,9,18.85
128,35,990,6,24.34
129,616,875,2,10.64
130,297,285,9,8.25
131,156,338,4,18.46
132,96,419,9,51.47
133,746,362,3,19.82
134,97,993,2,43.64
135,442,334,5,48.27
136,659,516,4,23.87
137,537,723,6,12.63
138,450,305,4,40.11
139,573,981,10,53.12
140,491,129,6,31.99
141,802,566,4,16.1
142,87,811,7,42.77
143,183,243,3,3.12
144,630,518,1,31.48
145,135,98,4,53.56
146,603,417,5,41.99
147,127,34,7,54.39
148,49,53,4,6.27
149,735,252,9,22.13
150,540,323,3,52.04
151,642,164,2,43.23
152,438,223,8,2.51
153,427,407,4,49.65
154,360,53,4,27.91
155,765,79,10,48.86
156,956,101,10,19.59
157,944,395,10,55.71
158,644,85,6,41.0
159,795,920,8,51.14
160,455,568,1,17.72
161,469,551,4,53.59
162,36,5,3,4.6
163,691,873,7,50.75
164,69,301,8,41.97
165,779,437,8,16.92
166,287,198,6,36.75
167,750,930,5,22.96
168,685,296,2,6.97
169,814,15,3,17.68
170,843,591,3,28.16
171,871,715,7,17.22
172,626,929,4,48.95
173,262,958,7,47.29
174,677,333,10,49.09
175,53,435,9,13.18
176,598,243,10,17.7
177,659,566,5,26.24
178,787,400,10,33.63
179,917,648,1,6.08
180,609,599,1,26.22
181,385,298,3,34.49
182,49,67,1,19.87
183,354,848,5,57.93
184,738,644,5,19.32
185,685,758,3,58.43
186,892,667,7,27.9
187,861,465,2,30.27
188,98,971,2,51.1
189,466,530,1,34.02
190,476,567,2,52.19
191,606,447,9,33.46
192,702,95,7,18.99
193,185,731,10,50.05
194,106,834,8,1.27
195,719,418,8,6.37
196,245,909,6,29.28
197,766,720,2,52.97
198,339,828,5,15.08
199,929,779,4,46.98
200,636,58,10,8.47
201,664,545,2,18.33
202,668,741,1,46.85
203,373,544,6,40.75
204,852,935,2,29.66
205,234,198,8,1.23
206,448,1000,4,53.29
207,207,917,9,55.04
208,80,329,2,4.22
209,989,182,3,59.8
210,516,169,9,50.0
211,41,271,6,12.24
212,284,413,2,51.92
213,156,814,5,41.79
214,360,94,3,31.86
215,104,447,8,45.58
