order_id,customer_id,order_date,order_status,payment_method
1,305,2024-11-27,Canceled,Credit Card
2,964,2023-10-26,Completed,PayPal
3,991,2023-04-10,Completed,Credit Card
4,836,2024-06-09,Canceled,PayPal
5,986,2024-04-26,Canceled,PayPal
6,519,2024-02-27,Processing,Credit Card
7,163,2024-09-02,Completed,PayPal
8,192,2023-08-28,Completed,Credit Card
9,366,2023-03-23,Completed,Credit Card
10,404,2025-02-17,Completed,PayPal
11,712,2023-08-20,Completed,PayPal
12,406,2024-02-10,Completed,PayPal
13,860,2023-10-17,Canceled,Credit Card
14,70,2024-01-09,Processing,PayPal
15,263,2023-04-17,Canceled,PayPal
16,966,2025-03-16,Completed,Credit Card
17,587,2025-02-13,Canceled,PayPal
18,193,2023-11-29,Canceled,Credit Card
19,418,2023-11-24,Canceled,PayPal
20,594,2023-10-03,Processing,Credit Card
21,240,2024-01-23,Canceled,Credit Card
22,551,2023-09-21,Processing,Credit Card
23,334,2023-04-01,Canceled,Credit Card
24,425,2024-12-30,Processing,PayPal
25,149,2023-12-22,Canceled,Credit Card
26,161,2025-03-18,Canceled,Credit Card
27,781,2023-08-09,Canceled,Credit Card
28,20,2023-11-08,Canceled,PayPal
29,743,2023-11-22,Processing,Credit Card
30,698,2023-06-25,Completed,PayPal
31,811,2024-09-12,Canceled,PayPal
32,91,2024-04-29,Canceled,Credit Card
33,63,2024-05-19,Canceled,Credit Card
34,431,2024-07-03,Processing,Credit Card
35,327,2024-06-19,Canceled,PayPal
36,977,2023-06-16,Canceled,Credit Card
37,717,2023-04-04,Completed,PayPal
38,826,2023-09-08,Canceled,PayPal
39,31,2023-06-25,Processing,Credit Card
40,622,2023-04-07,Processing,Credit Card
41,477,2023-05-19,Completed,PayPal
42,706,2024-03-29,Canceled,Credit Card
43,953,2024-08-21,Completed,PayPal
44,591,2024-11-30,Completed,Credit Card
45,302,2023-08-16,Processing,PayPal
46,852,2023-05-05,Completed,Credit Card
47,69,2023-05-13,Completed,PayPal
48,159,2024-03-18,Completed,PayPal
49,895,2023-12-22,Completed,PayPal
50,398,2024-09-14,Completed,Credit Card
51,685,2025-02-23,Completed,PayPal
52,155,2024-04-23,Processing,Credit Card
53,394,2024-11-12,Processing,PayPal
54,290,2024-04-05,Processing,PayPal
55,311,2025-02-04,Processing,PayPal
56,107,2025-03-11,Processing,PayPal
57,706,2023-09-22,Processing,PayPal
58,475,2023-10-21,Canceled,PayPal
59,835,2023-09-09,Canceled,Credit Card
60,256,2024-03-16,Processing,PayPal
61,534,2023-09-24,Canceled,Credit Card
62,395,2023-07-24,Processing,Credit Card
63,366,2024-06-01,Processing,Credit Card
64,83,2024-03-05,Processing,Credit Card
65,370,2024-11-28,Completed,PayPal
66,896,2024-12-01,Completed,Credit Card
67,808,2024-07-22,Processing,PayPal
68,32,2024-02-21,Completed,Credit Card
69,355,2025-01-17,Completed,Credit Card
70,927,2025-01-02,Canceled,Credit Card
71,431,2023-11-30,Completed,Credit Card
72,106,2024-10-06,Processing,PayPal
73,384,2024-05-02,Completed,PayPal
74,700,2023-11-30,Processing,Credit Card
75,255,2023-08-29,Completed,Credit Card
76,77,2024-11-18,Canceled,PayPal
77,85,2024-09-16,Processing,Credit Card
78,414,2024-08-04,Completed,PayPal
79,414,2024-03-22,Processing,PayPal
80,868,2024-08-17,Canceled,Credit Card
81,188,2024-06-28,Canceled,PayPal
82,334,2023-04-28,Completed,PayPal
83,953,2024-10-17,Processing,Credit Card
84,478,2023-08-30,Processing,Credit Card
85,761,2024-06-24,Completed,Credit Card
86,9,2024-05-07,Canceled,PayPal
87,289,2023-09-22,Canceled,Credit Card
88,83,2023-05-04,Processing,PayPal
89,899,2023-08-05,Completed,Credit Card
90,567,2024-10-13,Canceled,PayPal
91,117,2024-10-10,Completed,PayPal
92,626,2024-03-14,Processing,Credit Card
93,258,2024-04-22,Completed,Credit Card
94,900,2023-11-22,Canceled,Credit Card
95,850,2023-09-12,Processing,PayPal
96,299,2024-04-29,Processing,Credit Card
97,777,2024-03-17,Processing,Credit Card
98,955,2024-03-23,Completed,Credit Card
99,18,2024-07-18,Completed,Credit Card
100,315,2025-03-12,Canceled,PayPal
101,592,2023-11-28,Completed,Credit Card
102,438,2023-07-30,Canceled,PayPal
103,451,2025-02-11,Processing,Credit Card
104,614,2024-01-28,Canceled,PayPal
105,186,2023-07-10,Completed,Credit Card
106,886,2024-05-20,Completed,Credit Card
107,970,2024-12-25,Canceled,Credit Card
108,315,2023-12-27,Completed,Credit Card
109,396,2025-02-20,Processing,PayPal
110,601,2023-04-05,Completed,PayPal
111,595,2024-03-25,Processing,PayPal
112,989,2023-11-01,Processing,Credit Card
113,492,2024-10-10,Processing,Credit Card
114,817,2023-09-16,Canceled,PayPal
115,465,2025-01-13,Processing,PayPal
116,140,2024-06-22,Processing,PayPal
117,719,2023-05-17,Completed,Credit Card
118,155,2024-01-10,Canceled,Credit Card
119,922,2023-10-07,Processing,Credit Card
120,966,2024-04-18,Processing,Credit Card
121,609,2023-03-22,Completed,PayPal
122,580,2023-10-27,Canceled,Credit Card
123,57,2024-11-27,Processing,Credit Card
124,201,2025-01-14,Canceled,Credit Card
125,429,2023-04-19,Canceled,PayPal
126,103,2024-02-29,Canceled,PayPal
127,309,2023-07-27,Completed,PayPal
128,326,2024-05-19,Processing,Credit Card
129,869,2023-12-07,Processing,Credit Card
130,469,2023-10-21,Canceled,PayPal
131,395,2024-10-02,Completed,PayPal
132,932,2023-11-18,Processing,Credit Card
133,305,2024-12-04,Processing,PayPal
134,292,2023-11-27,Completed,Credit Card
135,565,2024-11-13,Completed,PayPal
