order_id,customer_id,order_date,order_status,payment_method
1,844,05/13/2023,Canceled,Credit Card
2,686,03/08/2025,Completed,Credit Card
3,15,08/26/2024,Canceled,PayPal
4,684,08/27/2023,Completed,PayPal
5,62,06/01/2023,Canceled,Credit Card
6,662,06/22/2024,Canceled,Credit Card
7,776,01/13/2024,Completed,PayPal
8,761,12/16/2023,Processing,Credit Card
9,9,09/01/2023,Processing,PayPal
10,551,09/07/2024,Canceled,PayPal
11,296,12/14/2024,Processing,Credit Card
12,522,07/05/2023,Completed,PayPal
13,133,08/19/2023,Processing,Credit Card
14,907,12/08/2024,Completed,PayPal
15,903,05/10/2024,Processing,PayPal
16,216,08/08/2023,Processing,Credit Card
17,446,12/09/2024,Completed,PayPal
18,574,07/22/2023,Completed,PayPal
19,808,03/17/2024,Processing,Credit Card
20,564,10/05/2023,Processing,Credit Card
21,258,09/13/2023,Processing,Credit Card
22,352,07/22/2023,Processing,PayPal
23,929,05/29/2023,Completed,Credit Card
24,484,03/05/2024,Completed,Credit Card
25,227,06/06/2024,Completed,Credit Card
26,328,09/28/2024,Processing,Credit Card
27,907,11/13/2023,Canceled,Credit Card
28,343,04/06/2024,Completed,Credit Card
29,507,03/02/2025,Completed,PayPal
30,25,10/28/2023,Canceled,PayPal
31,494,04/08/2024,Processing,PayPal
32,274,09/24/2023,Canceled,Credit Card
33,795,01/10/2024,Canceled,Credit Card
34,874,02/13/2024,Canceled,PayPal
35,544,03/07/2024,Processing,Credit Card
36,920,05/20/2023,Processing,Credit Card
37,123,12/11/2024,Processing,PayPal
38,723,03/11/2025,Canceled,Credit Card
39,212,11/16/2024,Canceled,Credit Card
40,141,11/21/2024,Canceled,PayPal
41,402,11/12/2024,Canceled,PayPal
42,186,10/13/2024,Processing,PayPal
43,349,02/10/2024,Processing,PayPal
44,957,10/15/2024,Processing,Credit Card
45,677,12/29/2023,Canceled,Credit Card
46,725,05/14/2023,Canceled,Credit Card
47,978,08/24/2023,Completed,Credit Card
48,297,04/17/2023,Completed,PayPal
49,160,08/23/2023,Completed,Credit Card
50,227,07/10/2023,Canceled,Credit Card
51,741,03/27/2023,Canceled,PayPal
52,637,11/22/2024,Canceled,Credit Card
53,918,08/03/2023,Completed,PayPal
54,354,12/29/2024,Processing,PayPal
55,434,09/18/2023,Canceled,Credit Card
56,357,12/07/2024,Canceled,PayPal
57,356,02/26/2025,Processing,Credit Card
58,872,12/01/2024,Processing,Credit Card
59,758,08/17/2024,Processing,Credit Card
60,69,02/07/2024,Processing,Credit Card
61,360,11/15/2023,Completed,PayPal
62,439,07/16/2024,Completed,PayPal
63,976,11/22/2023,Processing,Credit Card
64,534,11/26/2024,Processing,PayPal
65,923,02/10/2024,Completed,Credit Card
66,556,04/20/2023,Processing,Credit Card
67,512,05/02/2023,Completed,Credit Card
68,934,07/04/2023,Processing,Credit Card
69,953,03/06/2024,Completed,PayPal
70,450,10/19/2024,Processing,PayPal
