order_id,customer_id,order_date,total_price,order_status,payment_method,transaction_id
1,463,2024-11-30,91.75,Completed,Credit Card,386
2,698,2024-03-01,168.33,Processing,Credit Card,232
3,342,2023-10-28,186.45,Canceled,PayPal,706
4,837,2023-12-04,171.61,Canceled,Credit Card,903
5,669,2023-06-20,10.76,Processing,Credit Card,800
6,661,2024-12-14,6.54,Processing,Credit Card,540
7,682,2025-01-29,89.6,Canceled,Credit Card,913
8,255,2023-09-08,12.61,Completed,Credit Card,75
9,247,2024-11-16,137.23,Processing,Credit Card,954
10,579,2023-10-20,68.58,Canceled,Credit Card,131
11,407,2024-02-16,60.46,Canceled,Credit Card,702
12,250,2023-04-28,164.04,Processing,PayPal,633
13,934,2024-06-22,54.53,Completed,Credit Card,542
14,196,2024-11-05,181.81,Canceled,PayPal,239
15,42,2024-12-25,77.26,Processing,PayPal,581
16,75,2023-04-20,141.52,Processing,Credit Card,828
17,746,2024-09-27,184.66,Processing,Credit Card,741
18,428,2024-04-14,93.07,Completed,PayPal,924
19,702,2023-08-31,58.79,Completed,PayPal,21
20,331,2023-04-23,87.89,Processing,PayPal,292
21,524,2024-03-22,91.04,Completed,Credit Card,641
22,325,2024-03-07,38.55,Canceled,PayPal,246
23,253,2023-11-05,2.11,Completed,Credit Card,175
24,285,2025-01-04,165.41,Canceled,PayPal,13
25,488,2023-05-12,46.0,Completed,PayPal,615
26,529,2024-09-16,147.74,Canceled,Credit Card,204
27,276,2023-12-12,139.87,Canceled,PayPal,18
28,989,2023-09-14,88.14,Canceled,PayPal,228
29,903,2023-06-13,100.42,Canceled,Credit Card,14
30,554,2024-02-25,186.91,Completed,Credit Card,568
31,715,2023-06-23,156.68,Processing,Credit Card,797
32,252,2023-03-27,22.45,Canceled,Credit Card,517
33,607,2023-06-19,138.06,Canceled,PayPal,636
34,532,2024-08-16,53.0,Canceled,Credit Card,562
35,235,2024-06-06,53.74,Completed,PayPal,4
36,863,2024-07-04,184.03,Completed,PayPal,913
37,33,2024-09-30,87.94,Processing,Credit Card,854
38,376,2024-11-30,133.26,Completed,PayPal,625
39,934,2024-08-10,163.58,Canceled,Credit Card,258
40,983,2023-10-01,111.41,Completed,Credit Card,329
41,909,2023-11-27,105.19,Processing,Credit Card,871
42,29,2024-03-18,51.5,Completed,PayPal,363
43,758,2023-05-09,101.21,Canceled,PayPal,660
44,883,2023-07-13,15.45,Processing,PayPal,442
45,814,2023-10-22,111.36,Canceled,PayPal,42
46,789,2024-11-02,168.55,Processing,Credit Card,600
47,356,2024-10-14,74.97,Canceled,Credit Card,920
48,36,2023-05-29,19.91,Canceled,Credit Card,96
49,697,2024-06-15,61.71,Canceled,Credit Card,123
50,411,2024-09-07,20.93,Processing,PayPal,556
51,315,2023-10-14,136.68,Completed,Credit Card,719
52,514,2024-06-21,154.9,Canceled,Credit Card,259
53,748,2024-09-06,197.32,Completed,Credit Card,760
54,898,2024-12-08,189.71,Completed,Credit Card,855
55,633,2024-01-30,164.48,Processing,PayPal,931
56,684,2023-12-17,196.77,Completed,PayPal,794
57,649,2023-04-20,66.38,Processing,PayPal,848
58,387,2023-04-17,142.37,Completed,Credit Card,577
59,563,2024-10-06,74.67,Completed,Credit Card,485
60,816,2024-05-04,173.31,Completed,Credit Card,440
61,861,2024-04-23,128.21,Canceled,Credit Card,193
62,499,2024-11-30,1.09,Canceled,PayPal,221
63,974,2023-06-04,151.14,Completed,Credit Card,385
64,783,2023-09-16,184.86,Completed,Credit Card,692
65,869,2024-04-22,166.16,Canceled,Credit Card,510
66,26,2023-05-20,189.52,Completed,Credit Card,857
67,404,2023-07-27,99.21,Canceled,PayPal,207
68,670,2024-04-28,134.81,Processing,PayPal,637
69,423,2024-04-29,115.82,Completed,PayPal,94
70,347,2023-06-20,171.45,Processing,Credit Card,851
